,codigo_trecho,vl_km_inic,vl_km_fina,vl_extensa,VMDa_C,VMDa_D,ds_sup_fed,GEH,acidentes_sem_vitima,acidentes_com_vitima,acidentes_com_mortos,acidentes_totais,UPS_medio,UPS_max,UPS_min,VDM,ICA_medio,ICA_max,ICA_min,tipo_pista,tipo_area,tipo_terreno
2424,381BMG0530,531.1,559.8,28.7,9686.0,9458.0,DUP,A,13.0,45.0,2.0,60.0,11.478260869565217,42.0,1.0,14521.782608695652,2.9575217391304345,4.971,2.237,Dupla,Rural,Plano
2425,381BMG0550,559.8,569.4,9.6,7695.0,7201.0,DUP,,1.0,15.0,2.0,18.0,17.0,23.0,10.0,12533.333333333334,2.6445000000000003,4.682,2.237,Dupla,Rural,Ondulado
2426,381BMG0570,569.4,584.3,14.9,7709.0,7205.0,DUP,,1.0,27.0,5.0,33.0,13.4,36.0,5.0,12939.0,2.9256,4.971,2.237,Dupla,Rural,Ondulado
2427,381BMG0590,584.3,611.5,27.2,8702.0,8405.0,DUP,A,6.0,46.0,6.0,58.0,14.272727272727273,51.0,5.0,13684.818181818182,2.7393181818181818,4.971,2.237,Dupla,Rural,Ondulado
2428,381BMG0610,611.5,614.5,3.0,9149.0,8826.0,DUP,,0.0,2.0,0.0,2.0,5.0,5.0,5.0,13012.0,2.2515,2.266,2.237,Dupla,Rural,Ondulado
2429,381BMG0620,614.5,643.4,28.9,6976.0,7234.0,DUP,,7.0,55.0,3.0,65.0,13.375,35.0,1.0,13148.75,2.2803333333333335,2.41,2.237,Dupla,Rural,Plano
2430,381BMG0630,643.4,672.3,28.9,7112.0,7182.0,DUP,A,14.0,60.0,2.0,76.0,14.782608695652174,40.0,1.0,14107.478260869566,3.062521739130435,4.971,2.237,Dupla,Rural,Ondulado
2431,381BMG0650,672.3,682.4,10.1,7854.0,8099.0,DUP,,1.0,18.0,2.0,21.0,16.714285714285715,33.0,5.0,17458.285714285714,2.2494285714285716,2.266,2.237,Dupla,Rural,Ondulado
2432,381BMG0670,687.5,746.6,59.099999999999994,8800.0,8925.5,DUP,B,19.0,123.0,5.0,147.0,13.705882352941176,50.0,1.0,17243.86274509804,2.268137254901961,2.41,2.237,Dupla,Rural,Ondulado
2433,381BMG0690,746.6,750.8,4.2,8093.0,8584.0,DUP,,1.0,5.0,3.0,9.0,16.25,45.0,5.0,17682.0,2.25875,2.266,2.237,Dupla,Rural,Plano
2434,381BMG0710,750.8,768.4,17.6,10478.0,10305.0,DUP,,6.0,22.0,2.0,30.0,10.923076923076923,25.0,1.0,16860.846153846152,2.257,2.41,2.237,Dupla,Rural,Ondulado
2435,381BMG0730,768.4,812.4,44.0,10182.0,9758.0,DUP,A,17.0,64.0,1.0,82.0,10.606060606060606,36.0,1.0,17021.363636363636,2.6354545454545453,4.682,2.237,Dupla,Rural,Ondulado
2436,381BMG0750,812.4,844.2,31.8,10856.5,10457.5,DUP,A,14.0,47.0,2.0,63.0,11.0,47.0,1.0,20405.2,2.37756,4.971,2.237,Dupla,Rural,Ondulado
2437,381BMG0770,844.2,891.4,47.2,11679.666666666666,11737.333333333334,DUP,,38.0,110.0,9.0,157.0,16.3953488372093,65.0,1.0,19420.906976744187,2.732232558139535,4.971,2.237,Dupla,Rural,Plano
